STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,EMNT,EMXP,EMXT,HDSD,PRCP,TAVG,TMAX,TMIN
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1951,283.3,-18.9,62.5,35,,411,9.4,15.6,3.2
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1952,217.6,-15.6,18,32.7,3255.1,371.1,9.4,15.3,3.5
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1953,296.1,-16.5,61.5,33.6,3473.6,454.5,9.6,15.5,3.6
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1954,182.6,-22.5,50,31.7,3559.7,580.9,8.7,13.9,3.4
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1955,252.9,-21.2,54,31.3,3671,523.8,9.6,15.3,3.8
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1956,148,-21.2,41,32.7,3491.2,566.3,8.9,14.6,3.1
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1957,195.4,-17.1,94.7,32.4,3628.6,485.1,9.1,14.8,3.3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1958,200.4,-18.8,27.7,32.1,3390.6,441.3,9.4,14.9,3.9
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1959,247,-16.5,51.8,33.6,3576.6,494.7,9.2,14.8,3.7
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1960,235.6,-15.6,57.7,32.7,3317.3,391.3,9.8,15.8,3.9
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1961,254.5,-18.3,63.1,32.6,3461.6,666.9,9.5,14.9,4.1
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1962,221,-17.3,52.4,32.3,3554.3,484.3,9.1,15.1,3.1
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1963,203.3,-16.1,28.3,32.4,3593.9,423.6,9.1,15,3.2
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1964,137.5,-15,69.4,31.6,3664,744.5,8.6,13.4,3.9
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1965,171.8,-16.6,53.8,33.1,3442.4,481.9,9.4,15.5,3.3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1966,224,-15.9,57.2,34.9,3224,739.8,9.7,15.7,3.7
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1967,216.8,-19.4,40.2,32.5,3756.9,590.3,8.2,13.4,2.9
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1968,137.1,-17.8,60.9,32,3907.6,615.4,8.7,14.4,3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1969,235.9,-19.3,41.4,32.9,3535.8,450.9,9.2,15.3,3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1970,227,-14.2,60.5,34.5,3580.7,542.2,9.1,14.9,3.2
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1971,282.9,-15.6,39.8,34.1,3533.9,318.5,9.5,15.6,3.3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1972,245.8,-19.1,27.4,33.7,3564.7,404.9,9.1,15.1,3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1973,248.8,-17.4,63.2,35,3383.7,563.2,9.8,15.8,3.8
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1974,252.5,-14.7,39.9,34.6,3588.2,515.2,8.9,14.5,3.3
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1975,238.5,-24.3,46.2,33.2,3640.3,673.5,8.8,13.9,3.8
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1976,129.2,-16.5,43.5,35.3,3712.9,487.4,8.5,14.2,2.9
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1977,221.8,-22,49.3,33.1,3718.1,467.7,9.4,15.3,3.5
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1978,211.4,-17.2,58,34,3363.7,464.2,9.4,15.2,3.6
CHM00053915,"PINGLIANG, CH",35.55,106.667,1348,1979,192.3,-16.2,52.1,31.8,3308.7,506.9,9.8,15.9,3.7
