1、 东北电力大学 院校位置：吉林
2、 内蒙古工业大学 院校位置：内蒙古
3、 沈阳工程学院 院校位置：辽宁
4、 长沙电力职业技术学院 院校位置：湖南
5、 重庆电力高等专科学校 院校位置：重庆
6、 郑州电力高等专科学校 院校位置：河南
7、 贵州电力职业技术学院 院校位置：贵州
8、 石家庄经济职业学院 院校位置：河北
9、 江西电力职业技术学院 院校位置：江西
10、 武汉电力职业技术学院 院校位置：湖北
11、 新疆应用职业技术学院 院校位置：新疆
12、 哈尔滨电力职业技术学院 院校位置：黑龙江
13、 广西电力职业技术学院 院校位置：广西
14、 广西水利电力职业技术学院 院校位置：广西
15、 山西电力职业技术学院 院校位置：山西
16、 山东电力高等专科学校 院校位置：山东
17、 内蒙古工业职业学院 院校位置：内蒙古
18、 保定电力职业技术学院 院校位置：河北
19、 安徽电气工程职业技术学院 院校位置：安徽
20、 乌海职业技术学院 院校位置：内蒙古
21、 内蒙古机电职业技术学院 院校位置：内蒙古
22、 新疆机电职业技术学院 院校位置：新疆
23、 西安电力高等专科学校 院校位置：陕西
